College,Program,Credential Type,Measure,Totals
Hagerstown,Network Security,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.422807991
Harford,Cyber Defense Certificate,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.310847237
Howard,CISCO,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.662995595
Howard,Cyber Forensics Technology,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.581019963
Howard,Help Desk/LAN Support,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.987520758
Howard,Network Security Admistration,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.175506716
Howard,Web Development ,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.948310083
MC,Advanced Network Security Certificate,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.167111766
MC,Cisco Certified Network Associate + Security Preparation Certificate,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.905713521
MC,CyberAdvantage - Core,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.690159483
MC,IT Professional+ Certificate,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.354049069
MC,"Network Engineer Certificate, Cisco Certified Network Associate Track",Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.52895738
PGCC,A+ Enhanced Certification,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.13564884
WorWic,Computer Information Securtiy,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.289651369
WorWic,Computer Software Technician,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.902701563
WorWic,PC Technician Basics,Certificate,Inter-college Transfer Rate (Including dual enroll and online enroll),0.841187209
