College,Program,Credential_level,Measure,Totals,Blank,Not Available
Baltimore City Community College,CPAM Non-credit Certificate,Not Specified,graduationRate,,Y,
Carroll Community College,CPAM Certificate <1y,Certificate (less than one year),graduationRate,,Y,
Carroll Community College,CPAM Certificate <1y,Didnt Apply for Credential,graduationRate,100.00%,N,
Carroll Community College,CPAM Certificate <1y,Not Specified,graduationRate,15.38%,N,
Carroll Community College,CPAM Certificate >1y,Certificate (more than one year),graduationRate,96.00%,N,
Carroll Community College,CPAM Certificate >1y,Didnt Apply for Credential,graduationRate,100.00%,N,
Carroll Community College,CPAM Degree AAS,Degree,graduationRate,100.00%,N,
Carroll Community College,CPAM Degree AAS,Not Specified,graduationRate,15.65%,N,
Carroll Community College,CPAM Degree AS,Not Specified,graduationRate,100.00%,N,
Carroll Community College,CPAM Non-credit Certificate,Certificate (less than one year),graduationRate,100.00%,N,
Carroll Community College,CPAM Non-credit Certificate,Not Specified,graduationRate,100.00%,N,
Carroll Community College,Non-CPAM Certificate <1y,Not Specified,graduationRate,100.00%,N,
Carroll Community College,Non-CPAM Degree,Not Specified,graduationRate,72.88%,N,
Carroll Community College,,Certificate (less than one year),graduationRate,,Y,
Carroll Community College,,Not Specified,graduationRate,45.45%,N,
College of Southern Maryland,CPAM Certificate <1y,Certificate (less than one year),graduationRate,,Y,
College of Southern Maryland,CPAM Certificate <1y,Not Specified,graduationRate,,Y,
College of Southern Maryland,CPAM Certificate >1y,Certificate (more than one year),graduationRate,100.00%,N,
College of Southern Maryland,CPAM Degree AAS,Not Specified,graduationRate,,Y,
College of Southern Maryland,CPAM Degree AS,Degree,graduationRate,100.00%,N,
College of Southern Maryland,CPAM Non-credit Certificate,Not Specified,graduationRate,,Y,
College of Southern Maryland,Non-CPAM Degree,Not Specified,graduationRate,,Y,
College of Southern Maryland,,Not Specified,graduationRate,2.56%,N,
Community College of Baltimore County,CPAM Certificate <1y,Didnt Apply for Credential,graduationRate,100.00%,N,
Community College of Baltimore County,CPAM Certificate <1y,Not Specified,graduationRate,7.25%,N,
Community College of Baltimore County,CPAM Certificate >1y,Certificate (more than one year),graduationRate,50.00%,N,
Community College of Baltimore County,CPAM Degree AAS,Degree,graduationRate,100.00%,N,
Community College of Baltimore County,CPAM Degree AAS,Not Specified,graduationRate,100.00%,N,
Community College of Baltimore County,CPAM Degree AS,Degree,graduationRate,64.29%,N,
Community College of Baltimore County,CPAM Non-credit Certificate,Not Specified,graduationRate,,Y,
Frederick Community College,CPAM Certificate <1y,Certificate (less than one year),graduationRate,100.00%,N,
Frederick Community College,CPAM Certificate <1y,Not Specified,graduationRate,,Y,
Frederick Community College,CPAM Certificate >1y,Certificate (more than one year),graduationRate,100.00%,N,
Frederick Community College,CPAM Degree AAS,Degree,graduationRate,100.00%,N,
Frederick Community College,CPAM Degree AAS,Not Specified,graduationRate,100.00%,N,
Frederick Community College,CPAM Degree AS,Degree,graduationRate,100.00%,N,
Garrett College,CPAM Certificate <1y,Certificate (less than one year),graduationRate,40.00%,N,
Garrett College,CPAM Certificate <1y,Not Specified,graduationRate,60.00%,N,
Garrett College,CPAM Degree AAS,Degree,graduationRate,100.00%,N,
Garrett College,CPAM Degree AAS,Not Specified,graduationRate,28.57%,N,
Garrett College,CPAM Non-credit Certificate,Certificate (less than one year),graduationRate,,Y,
Garrett College,CPAM Non-credit Certificate,Other,graduationRate,,Y,
Garrett College,Non-CPAM Degree,Degree,graduationRate,100.00%,N,
Garrett College,Non-CPAM Degree,Not Specified,graduationRate,62.50%,N,
Hagerstown Community College,CPAM Certificate <1y,Certificate (less than one year),graduationRate,62.50%,N,
Hagerstown Community College,CPAM Certificate <1y,Not Specified,graduationRate,11.11%,N,
Hagerstown Community College,CPAM Certificate >1y,Certificate (more than one year),graduationRate,66.67%,N,
Hagerstown Community College,CPAM Degree AAS,Degree,graduationRate,72.09%,N,
Hagerstown Community College,CPAM Degree AAS,Not Specified,graduationRate,6.54%,N,
Hagerstown Community College,CPAM Degree AS,Degree,graduationRate,74.36%,N,
Hagerstown Community College,CPAM Degree AS,Other,graduationRate,100.00%,N,
Hagerstown Community College,CPAM Degree AS,Not Specified,graduationRate,5.26%,N,
Hagerstown Community College,Non-CPAM Degree,Degree,graduationRate,100.00%,N,
Hagerstown Community College,Non-CPAM Degree,Not Specified,graduationRate,15.09%,N,
Hagerstown Community College,,Degree,graduationRate,72.22%,N,
Hagerstown Community College,,Not Specified,graduationRate,6.82%,N,
Harford Community College,CPAM Certificate <1y,Certificate (less than one year),graduationRate,,Y,
Harford Community College,CPAM Certificate <1y,Degree,graduationRate,100.00%,N,
Harford Community College,CPAM Certificate <1y,Not Specified,graduationRate,27.23%,N,
Harford Community College,CPAM Certificate >1y,Certificate (more than one year),graduationRate,100.00%,N,
Harford Community College,CPAM Degree AS,Degree,graduationRate,100.00%,N,
Harford Community College,Non-CPAM Degree,Degree,graduationRate,100.00%,N,
Harford Community College,Non-CPAM Degree,Not Specified,graduationRate,21.88%,N,
Harford Community College,emailed Dawn,Not Specified,graduationRate,50.00%,N,
Harford Community College,,Not Specified,graduationRate,27.59%,N,
Howard Community College,CPAM Certificate <1y,Not Specified,graduationRate,3.45%,N,
Howard Community College,CPAM Certificate >1y,Certificate (more than one year),graduationRate,100.00%,N,
Howard Community College,CPAM Certificate >1y,Not Specified,graduationRate,9.52%,N,
Howard Community College,CPAM Degree AA,Certificate (more than one year),graduationRate,100.00%,N,
Howard Community College,CPAM Degree AA,Degree,graduationRate,100.00%,N,
Howard Community College,CPAM Degree AA,Not Specified,graduationRate,3.28%,N,
Howard Community College,CPAM Degree AAS,Degree,graduationRate,100.00%,N,
Howard Community College,CPAM Degree AAS,Not Specified,graduationRate,3.03%,N,
Howard Community College,CPAM Non-credit Certificate,Not Specified,graduationRate,,Y,
Howard Community College,Non-CPAM Certificate <1y,Not Specified,graduationRate,,Y,
Howard Community College,Non-CPAM Degree,Degree,graduationRate,100.00%,N,
Howard Community College,Non-CPAM Degree,Not Specified,graduationRate,4.04%,N,
Howard Community College,,Not Specified,graduationRate,1.90%,N,
Howard Community College ,CPAM Certificate <1y,Not Specified,graduationRate,,Y,
Howard Community College ,CPAM Degree AAS,Not Specified,graduationRate,,Y,
Howard Community College ,Non-CPAM Degree,Not Specified,graduationRate,,Y,
Montgomery College,CPAM Certificate <1y,Certificate (less than one year),graduationRate,98.84%,N,
Montgomery College,CPAM Certificate <1y,Not Specified,graduationRate,,Y,
Montgomery College,CPAM Certificate >1y,Certificate (more than one year),graduationRate,100.00%,N,
Montgomery College,CPAM Degree AA,Degree,graduationRate,100.00%,N,
Montgomery College,CPAM Degree AAS,Degree,graduationRate,100.00%,N,
Montgomery College,CPAM Degree AAS,Other,graduationRate,25.00%,N,
Montgomery College,CPAM Degree AAS,Not Specified,graduationRate,,Y,
Montgomery College,CPAM Degree AS,Degree,graduationRate,100.00%,N,
Montgomery College,Non-CPAM Certificate <1y,Certificate (less than one year),graduationRate,100.00%,N,
Montgomery College,Non-CPAM Certificate <1y,Not Specified,graduationRate,,Y,
Montgomery College,Non-CPAM Degree,Degree,graduationRate,100.00%,N,
Montgomery College,Non-CPAM Degree,Not Specified,graduationRate,,Y,
Montgomery College,,Degree,graduationRate,100.00%,N,
Montgomery College,,Other,graduationRate,,Y,
Montgomery College,,Not Specified,graduationRate,0.56%,N,
Prince George's Community College,CPAM Non-credit Certificate,Certificate (less than one year),graduationRate,100.00%,N,
Prince George's Community College,CPAM Non-credit Certificate,Other,graduationRate,100.00%,N,
Prince George's Community College,CPAM Non-credit Certificate,Not Specified,graduationRate,87.50%,N,
Training,CPAM Certificate <1y,Certificate (less than one year),graduationRate,100.00%,N,
Training,CPAM Certificate >1y,Certificate (more than one year),graduationRate,,Y,
Training,,Not Specified,graduationRate,,Y,
Wor-Wic Community College,CPAM Certificate <1y,Certificate (less than one year),graduationRate,100.00%,N,
Wor-Wic Community College,CPAM Certificate <1y,Not Specified,graduationRate,37.65%,N,
Wor-Wic Community College,CPAM Certificate >1y,Certificate (more than one year),graduationRate,100.00%,N,
Wor-Wic Community College,CPAM Certificate >1y,Not Specified,graduationRate,,Y,
Wor-Wic Community College,CPAM Degree AAS,Degree,graduationRate,100.00%,N,
Wor-Wic Community College,CPAM Degree AAS,Not Specified,graduationRate,66.67%,N,
Wor-Wic Community College,CPAM Degree AS,Degree,graduationRate,100.00%,N,
Wor-Wic Community College,CPAM Degree AS,Not Specified,graduationRate,24.32%,N,
Wor-Wic Community College,Non-CPAM Degree,Degree,graduationRate,100.00%,N,
Wor-Wic Community College,Non-CPAM Degree,Not Specified,graduationRate,,Y,
Wor-Wic Community College,,Degree,graduationRate,100.00%,N,
Wor-Wic Community College,,Not Specified,graduationRate,84.78%,N,
Allegany Community College,CPAM Certificate >1y,Certificate (more than one year),transferRate,,Y,
Allegany Community College,CPAM Certificate >1y,Not Specified,transferRate,,Y,
Allegany Community College,CPAM Degree AAS,Degree,transferRate,,Y,
Allegany Community College,CPAM Degree AAS,Not Specified,transferRate,,Y,
Allegany Community College,CPAM Degree AS,Degree,transferRate,,Y,
Allegany Community College,CPAM Degree AS,Not Specified,transferRate,,Y,
Baltimore City Community College,CPAM Non-credit Certificate,Certificate (less than one year),transferRate,,Y,
Baltimore City Community College,CPAM Non-credit Certificate,Not Specified,transferRate,,Y,
Carroll Community College,CPAM Certificate <1y,Certificate (less than one year),transferRate,,Y,
Carroll Community College,CPAM Certificate <1y,Didnt Apply for Credential,transferRate,,Y,
Carroll Community College,CPAM Certificate <1y,Not Specified,transferRate,,Y,
Carroll Community College,CPAM Certificate >1y,Certificate (more than one year),transferRate,4.00%,N,
Carroll Community College,CPAM Certificate >1y,Didnt Apply for Credential,transferRate,,Y,
Carroll Community College,CPAM Degree AAS,Degree,transferRate,,Y,
Carroll Community College,CPAM Degree AAS,Not Specified,transferRate,,Y,
Carroll Community College,CPAM Degree AS,Not Specified,transferRate,,Y,
Carroll Community College,CPAM Non-credit Certificate,Certificate (less than one year),transferRate,,Y,
Carroll Community College,CPAM Non-credit Certificate,Not Specified,transferRate,,Y,
Carroll Community College,Non-CPAM Certificate <1y,Not Specified,transferRate,,Y,
Carroll Community College,Non-CPAM Degree,Not Specified,transferRate,,Y,
Carroll Community College,,Certificate (less than one year),transferRate,,Y,
Carroll Community College,,Not Specified,transferRate,,Y,
College of Southern Maryland,CPAM Certificate <1y,Certificate (less than one year),transferRate,100.00%,N,
College of Southern Maryland,CPAM Certificate <1y,Not Specified,transferRate,100.00%,N,
College of Southern Maryland,CPAM Certificate >1y,Certificate (more than one year),transferRate,50.00%,N,
College of Southern Maryland,CPAM Degree AAS,Not Specified,transferRate,42.11%,N,
College of Southern Maryland,CPAM Degree AS,Degree,transferRate,50.00%,N,
College of Southern Maryland,CPAM Non-credit Certificate,Not Specified,transferRate,,Y,
College of Southern Maryland,Non-CPAM Degree,Not Specified,transferRate,,Y,
College of Southern Maryland,,Not Specified,transferRate,35.90%,N,
Community College of Baltimore County,CPAM Certificate <1y,Didnt Apply for Credential,transferRate,19.44%,N,
Community College of Baltimore County,CPAM Certificate <1y,Not Specified,transferRate,4.15%,N,
Community College of Baltimore County,CPAM Certificate >1y,Certificate (more than one year),transferRate,,Y,
Community College of Baltimore County,CPAM Degree AAS,Degree,transferRate,33.33%,N,
Community College of Baltimore County,CPAM Degree AAS,Not Specified,transferRate,,Y,
Community College of Baltimore County,CPAM Degree AS,Degree,transferRate,35.71%,N,
Community College of Baltimore County,CPAM Non-credit Certificate,Not Specified,transferRate,,Y,
Frederick Community College,CPAM Certificate <1y,Certificate (less than one year),transferRate,28.89%,N,
Frederick Community College,CPAM Certificate <1y,Not Specified,transferRate,7.67%,N,
Frederick Community College,CPAM Certificate >1y,Certificate (more than one year),transferRate,24.19%,N,
Frederick Community College,CPAM Degree AAS,Degree,transferRate,22.22%,N,
Frederick Community College,CPAM Degree AAS,Not Specified,transferRate,12.50%,N,
Frederick Community College,CPAM Degree AS,Degree,transferRate,27.40%,N,
Garrett College,CPAM Certificate <1y,Certificate (less than one year),transferRate,30.00%,N,
Garrett College,CPAM Certificate <1y,Not Specified,transferRate,,Y,
Garrett College,CPAM Degree AAS,Degree,transferRate,50.00%,N,
Garrett College,CPAM Degree AAS,Not Specified,transferRate,19.05%,N,
Garrett College,CPAM Non-credit Certificate,Certificate (less than one year),transferRate,,Y,
Garrett College,CPAM Non-credit Certificate,Other,transferRate,100.00%,N,
Garrett College,Non-CPAM Degree,Degree,transferRate,,Y,
Garrett College,Non-CPAM Degree,Not Specified,transferRate,,Y,
Hagerstown Community College,CPAM Certificate <1y,Certificate (less than one year),transferRate,37.50%,N,
Hagerstown Community College,CPAM Certificate <1y,Not Specified,transferRate,,Y,
Hagerstown Community College,CPAM Certificate >1y,Certificate (more than one year),transferRate,,Y,
Hagerstown Community College,CPAM Degree AAS,Degree,transferRate,13.95%,N,
Hagerstown Community College,CPAM Degree AAS,Not Specified,transferRate,,Y,
Hagerstown Community College,CPAM Degree AS,Degree,transferRate,23.08%,N,
Hagerstown Community College,CPAM Degree AS,Other,transferRate,,Y,
Hagerstown Community College,CPAM Degree AS,Not Specified,transferRate,,Y,
Hagerstown Community College,Non-CPAM Degree,Degree,transferRate,,Y,
Hagerstown Community College,Non-CPAM Degree,Not Specified,transferRate,,Y,
Hagerstown Community College,,Degree,transferRate,11.11%,N,
Hagerstown Community College,,Not Specified,transferRate,,Y,
Harford Community College,CPAM Certificate <1y,Certificate (less than one year),transferRate,25.00%,N,
Harford Community College,CPAM Certificate <1y,Degree,transferRate,,Y,
Harford Community College,CPAM Certificate <1y,Not Specified,transferRate,9.41%,N,
Harford Community College,CPAM Certificate >1y,Certificate (more than one year),transferRate,25.00%,N,
Harford Community College,CPAM Degree AS,Degree,transferRate,23.81%,N,
Harford Community College,Non-CPAM Degree,Degree,transferRate,,Y,
Harford Community College,Non-CPAM Degree,Not Specified,transferRate,,Y,
Harford Community College,emailed Dawn,Not Specified,transferRate,,Y,
Harford Community College,,Not Specified,transferRate,3.45%,N,
Howard Community College,CPAM Certificate <1y,Not Specified,transferRate,8.05%,N,
Howard Community College,CPAM Certificate >1y,Certificate (more than one year),transferRate,,Y,
Howard Community College,CPAM Certificate >1y,Not Specified,transferRate,4.76%,N,
Howard Community College,CPAM Degree AA,Certificate (more than one year),transferRate,100.00%,N,
Howard Community College,CPAM Degree AA,Degree,transferRate,61.76%,N,
Howard Community College,CPAM Degree AA,Not Specified,transferRate,8.30%,N,
Howard Community College,CPAM Degree AAS,Degree,transferRate,100.00%,N,
Howard Community College,CPAM Degree AAS,Not Specified,transferRate,6.06%,N,
Howard Community College,CPAM Non-credit Certificate,Not Specified,transferRate,,Y,
Howard Community College,Non-CPAM Certificate <1y,Not Specified,transferRate,,Y,
Howard Community College,Non-CPAM Degree,Degree,transferRate,40.00%,N,
Howard Community College,Non-CPAM Degree,Not Specified,transferRate,2.02%,N,
Howard Community College,,Not Specified,transferRate,1.14%,N,
Howard Community College ,CPAM Certificate <1y,Not Specified,transferRate,,Y,
Howard Community College ,CPAM Degree AAS,Not Specified,transferRate,,Y,
Howard Community College ,Non-CPAM Degree,Not Specified,transferRate,,Y,
Montgomery College,CPAM Certificate <1y,Certificate (less than one year),transferRate,16.28%,N,
Montgomery College,CPAM Certificate <1y,Not Specified,transferRate,28.13%,N,
Montgomery College,CPAM Certificate >1y,Certificate (more than one year),transferRate,40.00%,N,
Montgomery College,CPAM Degree AA,Degree,transferRate,,Y,
Montgomery College,CPAM Degree AAS,Degree,transferRate,60.23%,N,
Montgomery College,CPAM Degree AAS,Other,transferRate,75.00%,N,
Montgomery College,CPAM Degree AAS,Not Specified,transferRate,31.00%,N,
Montgomery College,CPAM Degree AS,Degree,transferRate,55.00%,N,
Montgomery College,Non-CPAM Certificate <1y,Certificate (less than one year),transferRate,,Y,
Montgomery College,Non-CPAM Certificate <1y,Not Specified,transferRate,,Y,
Montgomery College,Non-CPAM Degree,Degree,transferRate,50.00%,N,
Montgomery College,Non-CPAM Degree,Not Specified,transferRate,33.78%,N,
Montgomery College,,Degree,transferRate,50.00%,N,
Montgomery College,,Other,transferRate,100.00%,N,
Montgomery College,,Not Specified,transferRate,23.60%,N,
Prince George's Community College,CPAM Non-credit Certificate,Certificate (less than one year),transferRate,,Y,
Prince George's Community College,CPAM Non-credit Certificate,Other,transferRate,,Y,
Prince George's Community College,CPAM Non-credit Certificate,Not Specified,transferRate,,Y,
Training,CPAM Certificate <1y,Certificate (less than one year),transferRate,,Y,
Training,CPAM Certificate >1y,Certificate (more than one year),transferRate,,Y,
Training,,Not Specified,transferRate,,Y,
Wor-Wic Community College,CPAM Certificate <1y,Certificate (less than one year),transferRate,,Y,
Wor-Wic Community College,CPAM Certificate <1y,Not Specified,transferRate,15.29%,N,
Wor-Wic Community College,CPAM Certificate >1y,Certificate (more than one year),transferRate,,Y,
Wor-Wic Community College,CPAM Certificate >1y,Not Specified,transferRate,,Y,
Wor-Wic Community College,CPAM Degree AAS,Degree,transferRate,100.00%,N,
Wor-Wic Community College,CPAM Degree AAS,Not Specified,transferRate,,Y,
Wor-Wic Community College,CPAM Degree AS,Degree,transferRate,9.09%,N,
Wor-Wic Community College,CPAM Degree AS,Not Specified,transferRate,16.22%,N,
Wor-Wic Community College,Non-CPAM Degree,Degree,transferRate,,Y,
Wor-Wic Community College,Non-CPAM Degree,Not Specified,transferRate,,Y,
Wor-Wic Community College,,Degree,transferRate,37.50%,N,
Wor-Wic Community College,,Not Specified,transferRate,21.74%,N,
